u,v,w,x,y
0,13679,46.9,41.08580116811535,44.51469729339406
0,10066,56.42,41.08580116811535,44.51469729339406
0,37849,55.8,41.08580116811535,44.51469729339406
1,12122,59.89,31.736676478601044,30.173472999254347
1,778,67.89,31.736676478601044,30.173472999254347
1,49369,23.43,31.736676478601044,30.173472999254347
2,42426,41.82,38.5564088133121,37.66603082163922
2,18288,41.67,38.5564088133121,37.66603082163922
2,6974,27.09,38.5564088133121,37.66603082163922
3,36005,35.81,91.68373320785615,59.03563259393578
3,37322,90.49,91.68373320785615,59.03563259393578
3,37899,54.68,91.68373320785615,59.03563259393578
4,35094,72.62,18.39318623694498,90.35825699774631
4,43076,18.48,18.39318623694498,90.35825699774631
4,40401,33.49,18.39318623694498,90.35825699774631
5,13046,18.15,81.49069040927883,41.90264729826109
5,27727,32.74,81.49069040927883,41.90264729826109
5,44273,40.49,81.49069040927883,41.90264729826109
6,24640,48.81,52.63106546115597,64.87943713338403
6,13158,66.43,52.63106546115597,64.87943713338403
6,46804,61.47,52.63106546115597,64.87943713338403
7,2533,32.16,36.03606895266935,88.2719503673019
7,46463,53.67,36.03606895266935,88.2719503673019
7,25267,50.85,36.03606895266935,88.2719503673019
8,34997,35.8,37.96688429104961,95.42952401812396
8,41006,58.02,37.96688429104961,95.42952401812396
8,31817,86.79,37.96688429104961,95.42952401812396
9,95,37.24,72.75639410757212,75.87201897767308
9,35785,23.25,72.75639410757212,75.87201897767308
9,2239,65.23,72.75639410757212,75.87201897767308
10,4713,74.54,77.84200465907105,2.170784303322937
10,46395,23.98,77.84200465907105,2.170784303322937
10,2176,83.2,77.84200465907105,2.170784303322937
11,43611,89.06,46.552395159969805,18.26249983261794
11,14440,95.76,46.552395159969805,18.26249983261794
11,26522,64.61,46.552395159969805,18.26249983261794
12,33549,36.67,22.447398416997665,1.0157208173962484
12,28554,87.35,22.447398416997665,1.0157208173962484
12,26398,83.45,22.447398416997665,1.0157208173962484
13,36330,53.94,0.2340083669281401,30.134466994620222
13,9210,7.31,0.2340083669281401,30.134466994620222
13,10735,47.67,0.2340083669281401,30.134466994620222
14,21961,76.06,60.400455773287895,87.46610847948324
14,29511,48.12,60.400455773287895,87.46610847948324
14,24372,89.26,60.400455773287895,87.46610847948324
15,586,69.67,38.26307377990381,44.64771903886108
15,24543,50.55,38.26307377990381,44.64771903886108
15,45496,12.66,38.26307377990381,44.64771903886108
16,11309,47.4,8.917599613754845,40.11566612900229
16,13718,24.69,8.917599613754845,40.11566612900229
16,35507,37.89,8.917599613754845,40.11566612900229
17,11995,36.43,78.38909812079112,81.58223016767676
17,28724,56.18,78.38909812079112,81.58223016767676
17,43448,41.24,78.38909812079112,81.58223016767676
18,12224,70.0,29.610585648093966,57.25370718009841
18,19003,52.74,29.610585648093966,57.25370718009841
18,24392,28.44,29.610585648093966,57.25370718009841
19,2114,57.01,65.86590624456699,48.52295856349572
19,35406,39.98,65.86590624456699,48.52295856349572
19,23232,68.53,65.86590624456699,48.52295856349572
20,19942,33.37,35.53024730261877,31.440963049268312
20,24779,27.62,35.53024730261877,31.440963049268312
20,39003,44.22,35.53024730261877,31.440963049268312
21,33368,19.67,61.44328450506973,16.315782892477916
21,29389,59.53,61.44328450506973,16.315782892477916
21,4208,21.3,61.44328450506973,16.315782892477916
22,14373,32.4,37.211660203337715,36.40244299103479
22,39937,39.62,37.211660203337715,36.40244299103479
