u,v,w,x,y
0,4283,56.6,37.141736574281424,39.54495930599224
0,3634,74.75,37.141736574281424,39.54495930599224
0,2225,34.99,37.141736574281424,39.54495930599224
1,4656,70.57,96.29122707443155,4.7584699080267745
1,2298,25.56,96.29122707443155,4.7584699080267745
1,7167,79.79,96.29122707443155,4.7584699080267745
2,8228,39.43,49.64268069481502,16.43162630526296
2,2327,50.35,49.64268069481502,16.43162630526296
2,1869,41.51,49.64268069481502,16.43162630526296
3,9904,64.77,61.21497696332209,3.932491379510805
3,7397,60.5,61.21497696332209,3.932491379510805
3,1449,98.58,61.21497696332209,3.932491379510805
4,1979,4.92,79.49392692461022,57.8242606304732
4,4247,35.91,79.49392692461022,57.8242606304732
4,3562,30.6,79.49392692461022,57.8242606304732
5,9331,32.36,60.62288221883494,48.48917123656709
5,8146,37.76,60.62288221883494,48.48917123656709
5,7020,10.68,60.62288221883494,48.48917123656709
6,9477,86.96,96.31609970001688,97.08713600302158
6,6775,97.8,96.31609970001688,97.08713600302158
6,1071,77.92,96.31609970001688,97.08713600302158
7,5800,67.95,63.59718475576859,8.413875795559534
7,6238,44.48,63.59718475576859,8.413875795559534
7,2929,24.64,63.59718475576859,8.413875795559534
8,7933,29.86,88.54166194881401,56.646644864615126
8,7925,43.74,88.54166194881401,56.646644864615126
8,2735,50.12,88.54166194881401,56.646644864615126
9,3570,20.88,85.46466120371049,17.04371896860192
9,6324,39.01,85.46466120371049,17.04371896860192
9,160,43.27,85.46466120371049,17.04371896860192
10,7445,77.7,84.65235179899896,77.42403376520062
10,6542,94.06,84.65235179899896,77.42403376520062
10,7553,80.86,84.65235179899896,77.42403376520062
11,248,36.04,95.38962855993556,49.3082680112494
11,9474,51.28,95.38962855993556,49.3082680112494
11,5871,64.6,95.38962855993556,49.3082680112494
12,1728,47.98,21.717528265770614,57.54486325683169
12,6750,38.37,21.717528265770614,57.54486325683169
12,3077,33.87,21.717528265770614,57.54486325683169
13,7617,58.33,94.09455015039639,93.20821860869984
13,5464,113.5,94.09455015039639,93.20821860869984
13,260,61.6,94.09455015039639,93.20821860869984
14,5721,51.66,36.552459517875036,50.67374014151669
14,9004,23.72,36.552459517875036,50.67374014151669
