u,v,w,x,y
0,48703,11.69,31.239134454150197,36.34390066222316
0,28463,35.5,31.239134454150197,36.34390066222316
0,22607,73.13,31.239134454150197,36.34390066222316
1,1049,75.49,63.78017399104897,18.7168469825152
1,7651,74.78,63.78017399104897,18.7168469825152
1,30272,61.2,63.78017399104897,18.7168469825152
2,42188,15.34,45.88627123928275,79.09002220243967
2,9922,80.85,45.88627123928275,79.09002220243967
2,26310,27.65,45.88627123928275,79.09002220243967
3,24510,53.63,30.614625121506823,4.187911197367356
3,15387,23.39,30.614625121506823,4.187911197367356
3,23485,88.11,30.614625121506823,4.187911197367356
4,18207,17.62,3.7439505092782266,60.1717801606944
4,1991,44.82,3.7439505092782266,60.1717801606944
4,24046,22.16,3.7439505092782266,60.1717801606944
5,14074,27.04,60.39639932238268,94.66010046503274
5,34603,73.98,60.39639932238268,94.66010046503274
5,37214,53.45,60.39639932238268,94.66010046503274
6,35087,29.33,55.944591467717,70.01750835295032
6,35019,55.83,55.944591467717,70.01750835295032
6,49351,22.61,55.944591467717,70.01750835295032
7,4228,55.72,57.781607943288115,99.37830927750359
7,41534,29.04,57.781607943288115,99.37830927750359
7,43366,81.22,57.781607943288115,99.37830927750359
8,10739,64.24,81.9195151511225,80.3786739376589
8,5954,96.68,81.9195151511225,80.3786739376589
8,33733,66.21,81.9195151511225,80.3786739376589
9,17028,46.5,93.26694925535183,66.7696651524686
9,33474,9.78,93.26694925535183,66.7696651524686
9,34132,29.2,93.26694925535183,66.7696651524686
10,5263,66.52,13.948334407408868,8.366401440016812
10,6177,59.93,13.948334407408868,8.366401440016812
10,14075,2.35,13.948334407408868,8.366401440016812
11,39988,23.62,13.997854646265552,47.094359516317894
11,9170,11.93,13.997854646265552,47.094359516317894
11,2765,9.08,13.997854646265552,47.094359516317894
12,5625,19.59,13.752119465908342,10.090048561879616
12,28932,11.88,13.752119465908342,10.090048561879616
12,28440,101.33,13.752119465908342,10.090048561879616
13,1951,55.1,62.513544418827294,53.51605631960935
13,40809,55.1,62.513544418827294,53.51605631960935
13,22109,15.73,62.513544418827294,53.51605631960935
14,25056,35.17,0.847389805540999,75.23083711951237
14,36015,22.99,0.847389805540999,75.23083711951237
14,30222,18.52,0.847389805540999,75.23083711951237
15,25592,50.55,45.907763305031324,18.005794213276573
15,18820,60.12,45.907763305031324,18.005794213276573
15,32500,47.24,45.907763305031324,18.005794213276573
16,26814,100.28,84.03392631905227,17.823974577270096
16,41496,38.95,84.03392631905227,17.823974577270096
16,44763,54.54,84.03392631905227,17.823974577270096
17,45160,99.59,30.841434589511696,9.206805970164178
17,38998,77.93,30.841434589511696,9.206805970164178
17,25549,34.15,30.841434589511696,9.206805970164178
18,27999,25.85,83.46859842331426,13.631082145155615
18,7399,56.85,83.46859842331426,13.631082145155615
18,4991,79.12,83.46859842331426,13.631082145155615
19,18755,41.11,80.15667484944106,82.09791449106265
19,27534,57.4,80.15667484944106,82.09791449106265
19,6222,21.95,80.15667484944106,82.09791449106265
20,17894,59.99,93.2873560348017,21.710032277861636
20,40980,85.21,93.2873560348017,21.710032277861636
20,31404,69.27,93.2873560348017,21.710032277861636
21,410,44.39,15.608914739846725,17.96469155168371
21,41564,69.7,15.608914739846725,17.96469155168371
21,17311,65.67,15.608914739846725,17.96469155168371
22,49334,39.47,52.540445941885906,80.72923100732406
22,27682,46.99,52.540445941885906,80.72923100732406
22,29914,45.41,52.540445941885906,80.72923100732406
23,29416,79.47,7.623917330512464,17.9972105676636
23,13204,95.26,7.623917330512464,17.9972105676636
23,16056,49.2,7.623917330512464,17.9972105676636
24,49309,8.25,88.70441264470263,18.967791395965293
24,7200,15.69,88.70441264470263,18.967791395965293
24,9413,3.46,88.70441264470263,18.967791395965293
25,12830,97.95,34.498521823140685,0.5706943100095896
25,14849,64.36,34.498521823140685,0.5706943100095896
25,48119,71.99,34.498521823140685,0.5706943100095896
26,14076,69.37,64.65876358490304,89.29306987662102
26,38779,61.48,64.65876358490304,89.29306987662102
26,4263,23.25,64.65876358490304,89.29306987662102
27,19978,22.64,42.8881102636041,43.49470319258278
27,35854,51.34,42.8881102636041,43.49470319258278
27,39849,37.0,42.8881102636041,43.49470319258278
28,46919,31.43,20.4443045701572,48.677264653566034
28,30870,23.36,20.4443045701572,48.677264653566034
28,47985,46.63,20.4443045701572,48.677264653566034
29,3190,32.05,24.383716876731178,40.51347126186241
29,16918,58.69,24.383716876731178,40.51347126186241
29,25677,29.56,24.383716876731178,40.51347126186241
30,17745,86.46,12.762220953159076,53.21249163036017
30,24534,84.67,12.762220953159076,53.21249163036017
30,45473,38.61,12.762220953159076,53.21249163036017
31,3870,21.29,45.05566781710295,29.74781228536375
31,23390,41.51,45.05566781710295,29.74781228536375
31,28831,43.64,45.05566781710295,29.74781228536375
32,11643,51.82,60.619374374579905,12.205818461396689
32,46160,87.28,60.619374374579905,12.205818461396689
32,35414,33.8,60.619374374579905,12.205818461396689
33,29243,7.7,84.41560429645935,86.26710092957094
33,487,59.58,84.41560429645935,86.26710092957094
33,48010,4.21,84.41560429645935,86.26710092957094
34,3565,58.11,93.00216028736367,15.104130582391505
34,27224,48.79,93.00216028736367,15.104130582391505
