0,5115,3.77
0,1867,9.47
0,5389,7.5
1,4199,6.39
1,3179,2.73
1,1972,7.75
2,9738,0.43
2,1735,9.73
2,5221,5.12
3,5950,1.06
3,7299,3.11
3,5352,8.84
4,8260,7.2
4,1697,7.32
4,2592,3.12
5,2325,6.4
5,8776,7.69
5,7458,5.64
6,6685,4.77
6,3008,0.55
6,9885,4.66
7,9682,9.71
7,4555,3.28
7,9567,9.6
8,9585,1.78
8,1124,1.56
8,5174,4.27
9,951,4.54
9,6900,2.12
9,2373,3.53
10,3456,5.67
10,9358,9.28
10,2306,5.46
11,1036,9.94
11,5271,3.74
11,7313,2.96
12,2065,9.81
12,8702,6.36
12,3945,0.12
13,8580,7.79
13,4146,8.04
13,2918,6.82
14,1907,5.86
14,569,4.65
14,5466,8.43
15,3745,6.71
15,1751,2.66
15,5193,2.51
16,6935,6.3
16,9176,3.91
16,6184,6.75
17,426,8.34
17,6004,2.86
17,9668,7.69
18,4728,5.18
18,7537,8.95
18,9759,2.65
19,8634,8.13
19,4771,9.31
19,7787,6.35
20,3193,4.42
20,2487,5.53
20,479,3.21
21,7985,6.5
21,830,4.31
21,8384,7.02
22,4485,1.96
22,4963,7.6
22,3102,1.42
23,1,9.61
23,1309,9.97
23,3568,8.24
24,5208,6.83
24,5594,5.87
24,7344,1.12
25,5131,0.45
25,6778,9.6
25,2598,5.21
26,6312,3.8
26,4110,5.42
26,6027,2.62
27,3314,8.17
27,8057,4.0
27,8323,1.58
28,1854,8.83
28,6643,3.13
28,6859,1.13
29,150,9.14
29,2594,8.09
29,8413,8.7
30,9046,9.01
30,1262,3.81
30,1525,3.87
31,7536,1.05
31,934,6.57
31,3740,4.49
32,198,6.07
32,3778,6.4
32,6227,9.18
33,2488,7.14
33,9652,0.52
33,5392,4.73
34,7651,1.33
34,1369,3.35
34,3644,3.0
35,6741,1.6
35,3721,0.36
35,9101,8.23
36,1352,2.92
36,8821,3.48
36,3837,7.78
37,3325,7.55
37,4725,6.19
37,5458,4.15
38,6276,4.63
38,1809,9.77
38,1377,4.91
39,5900,6.22
39,7548,2.34
39,1662,5.13
40,2138,9.67
40,2725,7.61
40,3568,6.7
41,152,5.02
41,7611,5.53
41,8034,9.89
42,418,9.0
42,3246,1.41
42,6059,8.29
43,7412,8.7
43,8658,4.39
43,8660,4.76
44,2591,3.82
44,3776,9.49
44,710,4.86
45,4595,3.34
45,9635,5.17
45,9720,4.58
46,5794,9.48
46,1573,6.87
46,8953,8.49
47,4668,3.3
47,4191,9.88
47,3696,8.63
48,3584,7.64
48,8748,2.07
48,1336,6.6
49,321,1.56
49,7171,4.53
49,2508,6.94
50,847,1.76
50,7498,0.6
50,3899,0.3
51,5247,0.77
51,9377,7.28
51,8580,3.08
52,7719,3.44
52,1432,5.12
52,4815,4.09
53,8764,9.19
53,6426,7.04
53,7195,7.05
54,6580,3.66
54,2918,4.57
54,6584,7.22
55,3279,6.88
55,2018,4.68
55,5479,3.72
56,6928,8.47
56,6106,8.85
56,8926,9.9
57,7086,7.63
57,8231,6.99
57,8339,9.52
58,5902,0.24
58,8107,1.08
58,9221,1.65
59,651,1.95
59,5639,6.13
59,706,2.72
60,5443,7.74
60,8854,4.67
60,5061,5.69
61,6775,2.1
61,7583,6.04
61,7728,0.88
62,4636,5.21
62,4399,9.96
62,3975,9.03
63,9869,0.51
63,3578,2.53
63,6754,2.68
64,2873,6.4
64,3503,8.45
64,9356,8.29
65,2637,9.97
65,4498,9.32
65,3418,4.75
66,5506,0.16
66,5038,3.3
66,3275,8.89
67,5654,4.25
67,7947,3.55
67,8369,9.67
68,5702,4.58
68,1992,6.45
68,2571,6.56
69,8195,5.37
69,5144,5.55
69,3387,3.38
70,7352,3.9
70,1836,7.65
70,7907,1.33
71,7779,1.01
71,550,5.82
71,6487,8.8
72,3307,1.73
72,1909,4.33
72,7403,0.54
73,6640,3.92
73,1810,6.74
73,2740,8.0
74,4132,2.03
74,999,9.02
74,7022,9.28
75,8551,1.47
75,6583,4.55
75,2286,3.23
76,7190,3.31
76,7157,0.93
76,8146,5.88
77,4126,6.8
77,1546,2.34
77,367,0.4
78,1972,6.71
78,4406,1.66
78,7580,0.48
79,6417,0.97
79,1279,5.52
79,2563,2.68
80,2084,5.38
80,5595,8.7
80,9573,3.64
81,2853,8.45
81,7595,0.38
81,7544,9.81
82,2046,4.96
82,8047,1.7
82,9806,1.65
83,3749,8.48
83,4218,3.99
83,284,6.86
84,5679,4.12
84,8409,8.33
84,904,7.89
85,7432,9.85
85,902,8.18
85,1619,9.29
86,1627,3.66
86,9748,5.07
86,5219,1.08
87,3088,5.51
87,6710,7.65
87,2264,5.9
88,8861,0.75
88,6113,3.87
88,9893,6.75
89,6168,5.23
89,5574,5.39
89,1991,3.47
90,4270,1.07
90,9053,7.58
90,8338,4.16
91,7906,9.44
91,1123,6.26
91,9023,4.87
92,6284,2.47
92,5222,9.59
92,6470,4.18
93,3471,5.01
93,4624,1.27
93,2520,6.33
94,2850,1.21
94,7442,2.58
94,1097,5.56
95,8809,7.89
95,3136,9.81
95,58,6.83
96,1859,2.29
96,454,9.16
96,4857,9.11
97,3869,2.95
97,8810,6.84
97,6198,4.42
98,1753,9.75
98,111,2.56
98,3931,2.99
99,2785,6.11
99,2047,9.0
99,2370,7.59
100,4047,9.04
100,7203,3.81
100,7974,7.49
101,5835,9.72
101,6892,3.45
101,530,6.29
102,2398,3.52
102,255,9.24
102,1726,5.55
103,9803,7.0
103,8513,3.3
103,3674,5.46
104,9901,7.83
104,397,7.4
104,5773,2.86
105,2797,4.73
105,7606,2.89
105,1126,5.32
106,1885,2.69
106,5982,5.29
106,1640,2.29
107,8831,6.87
107,1726,6.31
107,5313,9.43
108,5398,0.43
108,8679,7.67
108,2258,6.46
109,8942,0.79
109,6349,8.69
109,9579,0.49
110,367,9.06
110,9028,4.23
110,6005,6.33
111,8871,7.17
111,2032,9.56
111,8258,1.76
112,4902,7.88
112,4135,1.0
112,2450,4.13
113,4314,3.68
113,993,0.29
113,518,6.87
114,2979,5.18
114,1389,6.97
114,4754,0.17
115,3167,6.6
115,9742,7.68
115,3362,9.57
116,3631,0.82
116,415,3.6
116,364,8.97
117,4920,8.27
117,1028,4.28
117,3088,7.72
118,8897,6.67
118,1964,8.81
118,2231,8.27
119,8650,9.38
119,65,8.78
119,6865,5.91
120,9980,7.47
120,4680,0.47
120,1134,5.18
121,6920,3.71
121,3688,0.77
121,2810,7.54
122,5919,6.23
122,9317,1.44
122,8755,0.35
123,4320,0.68
123,6876,8.32
123,2903,9.31
124,8325,3.56
124,5836,7.59
124,4034,4.32
125,4288,5.5
125,8224,3.38
125,9422,5.54
126,4767,7.07
126,7554,1.22
126,8347,3.01
127,1392,8.95
127,1405,6.88
127,5876,2.35
128,3511,2.75
128,5887,7.77
128,6364,9.49
129,8581,3.22
129,434,6.85
129,7162,3.24
130,3339,3.55
130,2857,7.21
130,6285,7.96
131,2763,7.24
131,2961,0.71
131,8080,6.46
132,1362,6.26
132,4205,0.43
132,9811,6.23
133,6386,0.95
133,9421,5.05
133,8126,6.05
134,9039,6.66
134,1839,8.97
134,9392,4.41
135,6056,7.21
135,7520,2.2
135,9834,3.59
136,5831,5.0
136,756,4.57
136,5540,2.98
137,4698,0.42
137,780,6.47
137,8393,9.07
138,2472,4.96
138,8616,6.24
138,1800,6.26
139,8293,8.53
139,3765,7.85
139,4716,2.82
140,6376,3.62
140,4353,2.84
140,5425,4.61
141,4539,1.8
141,9164,8.89
141,6989,7.59
142,1798,7.65
142,7890,6.8
142,4815,0.79
143,8514,3.44
143,3003,5.58
143,8303,2.35
144,4072,5.55
144,9627,7.4
144,8921,2.7
145,4540,8.56
145,5550,7.58
145,4983,0.94
146,9321,7.74
146,6263,8.83
146,3105,7.24
147,8066,3.95
147,3506,3.97
147,2535,0.39
148,7812,8.3
148,8747,9.31
148,1291,6.91
149,6639,7.48
149,4329,3.03
149,1046,6.13
150,6165,0.43
150,5963,9.48
150,746,4.08
151,7035,9.82
151,3209,9.43
151,525,6.93
152,1632,0.97
152,2100,3.71
152,7804,2.31
153,9774,7.48
153,786,2.35
153,912,0.91
154,2376,6.19
154,4878,3.77
154,9596,7.56
155,6008,2.74
155,7898,9.86
155,7122,6.03
156,4349,0.64
156,5764,1.07
156,503,7.93
157,7944,0.67
157,739,6.9
157,6527,9.98
158,8287,2.28
158,995,4.29
158,7163,4.81
159,7863,4.6
159,9684,6.76
159,5101,4.27
160,4654,6.48
160,487,2.55
160,8755,0.63
161,3860,7.67
161,7672,0.31
161,5876,6.17
